 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
38766,116,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,17241.37931,116.0,0.0,116,116,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,8620.689655,8620.689655,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,122,339,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,343150,2,2,74,336,37,37,37.0,0.0,168,168,168.0,0.0,1194.812764,11.65670989,114383.3333,198114.2808,343146,1,1,1.0,0.0,1,1,3,3.0,0.0,3,3,0,0,0,0,40,64,5.828354947,5.828354947,37,168,89.4,71.75165503,5148.3,0,0,0,0,0,0,0,0,1,111.75,37.0,168.0,40,0,0,0,0,0,0,2,74,2,336,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
56119,1,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,12000000.0,2000000.0,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0.0,0.0,0,0,0,0,0,0,40,0,2000000.0,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,8197,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,115798,6,6,907,3813,572,0,151.1666667,221.2839051,1590,0,635.5,715.5925517,40760.6349,103.6287328,10527.09091,13387.94449,35683,53,84143,16828.6,15631.30599,35981,275,85582,17116.4,20386.66186,42326,245,0,0,0,0,132,132,51.8143664,51.8143664,0,1590,363.0769231,551.6447319,304311.9103,0,0,0,1,0,0,0,0,1,393.3333333,151.1666667,635.5,132,0,0,0,0,0,0,6,907,6,3813,8192,132,5,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
54976,26,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,76923.07692,26.0,0.0,26,26,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,38461.53846,38461.53846,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,52,229,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,4781606,12,11,3672,3053,1087,0,306.0,463.7550294,1463,0,277.5454545,494.5940484,1406.431228,4.810099368,217345.7273,502192.2315,1998965,1,2782641,252967.3636,412276.7893,926497,1,4781375,478137.5,684110.6778,1999087,3,0,0,0,0,392,360,2.509617062,2.300482307,0,1463,280.2083333,461.4987851,212981.1286,0,0,0,1,0,0,0,0,0,292.3913043,306.0,277.5454545,392,0,0,0,0,0,0,12,3672,11,3053,29200,8,5,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
44937,11,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,181818.1818,11.0,0.0,11,11,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,90909.09091,90909.09091,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,384,386,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,48913,1,1,53,229,53,53,53.0,0.0,229,229,229.0,0.0,5765.338458,40.88892523,48913.0,0.0,48913,48913,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,32,20.44446262,20.44446262,53,229,111.6666667,101.6136474,10325.33333,0,0,0,0,0,0,0,0,1,167.5,53.0,229.0,20,0,0,0,0,0,0,1,53,1,229,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,44834412,6,5,36,0,6,6,6.0,0.0,0,0,0.0,0.0,0.802954659,0.245347257,4483441.2,4961141.289,10000000,23624,44800000,8966882.4,2378848.409,10000000,4711469,40100000,10000000.0,417.8747819,10000000,10000000,0,0,0,0,120,160,0.133825777,0.11152148,0,6,3.5,3.089571903,9.545454545,0,0,0,0,1,0,0,0,0,3.818181818,6.0,0.0,120,0,0,0,0,0,0,6,36,5,0,256,290,5,20,23862.75,262.8261466,24251,23671,10000000.0,276.9693124,10000000,10000000,BENIGN
80,18707,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,641.4711071,106.9118512,18707.0,0.0,18707,18707,18707,18707.0,0.0,18707,18707,0,0.0,0.0,0,0,0,0,0,0,40,0,106.9118512,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,256,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
